installed_apps,to_be_removed,deleted_apps,disabled_apps,failed_to_clean
com.logame.eliminateintruder3d,,,,
com.mediatek,,,,
com.mediatek.atci.service,,,,
com.mediatek.atmwifimeta,,,,
com.mediatek.callrecorder,,,,
com.mediatek.capctrl.service,,,,
com.mediatek.cellbroadcastuiresoverlay,,,,
com.mediatek.datachannel.service,,,,
com.mediatek.duraspeed,,,,
com.mediatek.engineermode,,,,
com.mediatek.frameworkresoverlay,,,,
com.mediatek.FrameworkResOverlayExt,,,,
com.mediatek.gbaservice,,,,
com.mediatek.ims,,,,
com.mediatek.lbs.em2.ui,,,,
com.mediatek.location.lppe.main,,,,
com.mediatek.location.mtkgeofence,,,,
com.mediatek.mdmconfig,,,,
com.mediatek.mdmlsample,,,,
com.mediatek.miravision.ui,,,,
com.mediatek.mt6989.gamedriver,,,,
com.mediatek.MtkSettingsResOverlay,,,,
com.mediatek.MtkTelephonyServiceResOverlay,,,,
com.mediatek.networkstack.gooverlay,,,,
com.mediatek.networkstack.nongooverlay,,,,
com.mediatek.networkstack.overlay,,,,
com.mediatek.networkstack.tethering.googleoverlay,,,,
com.mediatek.networkstack.tethering.overlay,,,,
com.mediatek.SettingsProviderResOverlay,,,,
com.mediatek.smartratswitch.service,,,,
com.mediatek.telephony,,,,
com.mediatek.voicecommand,,,,
com.mediatek.voiceunlock,,,,
com.mediatek.wifi.system.mainline.resources.overlay,,,,
com.mediatek.wifi.system.resources.overlay,,,,
com.mediatek.ygps,,,,
com.mi.android.globalFileexplorer,,,,
com.mi.android.globallauncher,,,,
com.mi.appfinder,,,,
com.mi.global.pocobbs,,,,
com.mi.global.shop,,,,
com.mi.globalbrowser,,,,
com.mi.globallayout,,,,
com.mi.globalminusscreen,,,,
com.mi.healthglobal,,,,
com.microsoft.appmanager,,,,
com.microsoft.deviceintegrationservice,,,,
com.microsoft.skydrive,,,,
com.microsoftsdk.crossdeviceservicebroker,,,,
com.milink.service,,,,
com.mintgames.triplecrush.tile.fun,,,,
com.mintgames.wordtrip,,,,
com.miui.accessibility,,,,
com.miui.analytics,,,,
com.miui.android.fashiongallery,,,,
com.miui.aod,,,,
com.miui.audiomonitor,,,,
com.miui.autoui.ext,,,,
com.miui.backup,,,,
com.miui.bugreport,,,,
com.miui.calculator,,,,
com.miui.cit,,,,
com.miui.cleaner,,,,
com.miui.cloudbackup,,,,
com.miui.cloudservice,,,,
com.miui.compass,,,,
com.miui.core,,,,
com.miui.core.internal.services,,,,
com.miui.daemon,,,,
com.miui.extraphoto,,,,
com.miui.gallery,,,,
com.miui.global.packageinstaller,,,,
com.miui.guardprovider,,,,
com.miui.huanji,,,,
com.miui.mediaeditor,,,,
com.miui.mediaviewer,,,,
com.miui.micloudsync,,,,
com.miui.miservice,,,,
com.miui.mishare.connectivity,,,,
com.miui.misightservice,,,,
com.miui.misound,,,,
com.miui.miwallpaper,,,,
com.miui.miwallpaper.config.overlay,,,,
com.miui.miwallpaper.overlay,,,,
com.miui.miwallpaper.overlay.customize,,,,
com.miui.msa.global,,,,
com.miui.notes,,,,
com.miui.notification,,,,
com.miui.permissioncontroller.overlay,,,,
com.miui.phone.carriers.overlay.h3g,,,,
com.miui.phone.carriers.overlay.vodafone,,,,
com.miui.phrase,,,,
com.miui.player,,,,
com.miui.powerkeeper,,,,
com.miui.qr,,,,
com.miui.rom,,,,
com.miui.screenrecorder,,,,
com.miui.screenshot,,,,
com.miui.securityadd,,,,
com.miui.securitycenter,,,,
com.miui.securitycore,,,,
com.miui.settings.rro.device.config.overlay,,,,
com.miui.settings.rro.device.hide.statusbar.overlay,,,,
com.miui.settings.rro.device.type.overlay,,,,
com.miui.system,,,,
com.miui.system.overlay,,,,
com.miui.systemui.carriers.overlay,,,,
com.miui.systemui.devices.overlay,,,,
com.miui.systemui.overlay.devices.android,,,,
com.miui.thirdappassistant,,,,
com.miui.touchassistant,,,,
com.miui.videoplayer,,,,
com.miui.vsimcore,,,,
com.miui.wallpaper.overlay,,,,
com.miui.wallpaper.overlay.customize,,,,
com.miui.weather2,,,,
com.miui.yellowpage,,,,
com.miuix.editor,,,,
com.netflix.mediaclient,,,,
com.nf.snake,,,,
com.novatek.novavis,,,,
com.spotify.music,,,,
com.sukhavati.gotoplaying.bubble.BubbleShooter.mint,,,,
com.tencent.soter.soterserver,,,,
com.wdstechnology.android.kryten,,,,
com.xiaomi.account,,,,
com.xiaomi.aiasst.vision,,,,
com.xiaomi.aicr,,,,
com.xiaomi.aon,,,,
com.xiaomi.barrage,,,,
com.xiaomi.bluetooth,,,,
com.xiaomi.bluetooth.rro.device.config.overlay,,,,
com.xiaomi.calendar,,,,
com.xiaomi.cameramind,,,,
com.xiaomi.cameratools,,,,
com.xiaomi.continuity.sdkapp,,,,
com.xiaomi.discover,,,,
com.xiaomi.finddevice,,,,
com.xiaomi.glgm,,,,
com.xiaomi.hypercomm,,,,
com.xiaomi.joyose,,,,
com.xiaomi.mi_connect_service,,,,
com.xiaomi.micloud.sdk,,,,
com.xiaomi.midrop,,,,
com.xiaomi.mipicks,,,,
com.xiaomi.mirror,,,,
com.xiaomi.misettings,,,,
com.xiaomi.mtb,,,,
com.xiaomi.payment,,,,
com.xiaomi.phone,,,,
com.xiaomi.phone.overlay,,,,
com.xiaomi.scanner,,,,
com.xiaomi.simactivate.service,,,,
com.xiaomi.smarthome,,,,
com.xiaomi.touchservice,,,,
com.xiaomi.trustservice,,,,
com.xiaomi.ugd,,,,
com.xiaomi.xmsf,,,,
com.xiaomi.xmsfkeeper,,,,
com.zhiliaoapp.musically,,,,
miui.systemui.plugin,,,,
org.fdroid.fdroid,,,,
org.fossify.filemanager,,,,
org.ifaa.aidl.manager,,,,
